"field","missing","total","missing_percent"
"population",1575,3701934,0.0004254532900910713
"poverty-rate",1575,3701934,0.0004254532900910713
"pct-renter-occupied",1575,3701934,0.0004254532900910713
"median-gross-rent",262972,3701934,0.071036382604336
"median-household-income",42313,3701934,0.011429971468967301
"median-property-value",87102,3701934,0.023528782522865076
"rent-burden",226900,3701934,0.06129228668042164
"pct-white",1575,3701934,0.0004254532900910713
"pct-af-am",1575,3701934,0.0004254532900910713
"pct-hispanic",1575,3701934,0.0004254532900910713
"pct-am-ind",1575,3701934,0.0004254532900910713
"pct-asian",1575,3701934,0.0004254532900910713
"pct-nh-pi",1575,3701934,0.0004254532900910713
"pct-multiple",1575,3701934,0.0004254532900910713
"pct-other",1575,3701934,0.0004254532900910713
"eviction-filings",753521,3701934,0.20354792927156454
"evictions",808862,3701934,0.21849714230453596
"eviction-rate",808862,3701934,0.21849714230453596
"eviction-filing-rate",753583,3701934,0.2035646772740951
